Topic,Count,Name,Representation,Representative_Docs
68,20,68_cotton_fabric_spandex_cotton_tela,"['cotton', 'fabric', 'spandex', 'cotton_tela', 'parang', 'expected', 'hubby', 'ksi', 'washes', 'maghimulmol']","['good ewan parang reject parepareho malapad cotton loob makitid dikitan tape manipis cotton', 'far ganda cotton okay sulit thank', 'cotton thanks_seller ganda']"
69,20,69_waste_money_zero_deffective_buksan,"['waste_money', 'zero', 'deffective', 'buksan', 'tatlong', 'ambilis', 'gumana', 'bumubiga', 'toothpaste', 'tax']","['waste_money nag_cha charge', 'waste_money charged takes hrs charging still full used took mins battery already drained poor product sira dalawang_beses nagamit dont waste_money trash', 'waste_money sayang_pera wag_bumili papansinin seller issue araw gumana wala waste_money never shop']"
70,20,70_hawk_bag_tee_order_ulit_ganda_quality,"['hawk_bag', 'tee', 'order_ulit', 'ganda_quality', 'subok', 'quality', 'subra', 'good_quality', 'muscel', 'meticulous']","['nice ganda solid legit hawk_bag bilis_delivery order_ulit susunod thank_much', 'legit bilis_dumating well_packed subok matibay talaga hawk_bag', 'maganda orig first_time bumili hawk shopee_mall stars subok quality hawk_bag since highschool almost years first hawk_bag']"
71,20,71_seller_ewan_buyer_man,"['seller', 'ewan', 'buyer', 'man', 'sira', 'ipiladala', 'adress', 'umoo', 'namumulot', 'mgbebenta']","['sira payong sana man_lng chinecheck sira ba item ideliver sayang binabayad buyer maintindhan tong_seller lng bang makabenta khit sira maibigay nkakainis lng buy', 'request kay_seller blue_maroon dumating maroon ngmessage aq sbi ok taz hndi dn pla aq sna qng wlang ibang_kulay say kz umaasa kmi dun kulay nmin nkkadisappoint pg umoo seller', 'cute case cheap_price sira binigay seller alam maiinis ewan sayang ngbayad tama tpos gnto mkukuha khit maliit_halaga pinghirapan prin kitain sana wag_kau mg dayas buyer nio mging tapat kau']"
72,19,72_fan_low_battery_fans_portable,"['fan', 'low_battery', 'fans', 'portable', 'terrible', 'suot', 'working', 'pangrregalo', 'cheni', 'mgpalit']","['received_complete items sira fan magagamit charge malamang fan turn trash sana deliver item check_muna gumagana masayang bayad', 'okay product working nung pagkabukas package nakaclose box product medyo kinabahan baka nadamage product far_okay levels fan although mabilis malowbatt one level bilis fan packed well', 'get_pay mahina fan kita_video although gumagana man gumalaw buhok suot mas_ok handheld portable fan sana check seller quality item']"
73,18,73_mosquito_net_tent_bed_pillow,"['mosquito_net', 'tent', 'bed', 'pillow', 'baby_mosquito', 'net', 'baby', 'comforter', 'memory', 'malaki']","['maganda malaki mosquito_net manipis cotton bed picture nakapost seller', 'nice mosquito_net baby malaki medyo expected memory pillow kuno foam pillow memory milk bottle brush kala laruan subrang_liit naupload video', 'super_cute malaki mosquito_net baby']"
74,17,74_shop_qc_highly_murang_mura,"['shop', 'qc', 'highly', 'murang_mura', 'hub', 'bras', 'till_next', 'free_shipping', 'binigo', 'talaga']","['dumating boots nakabox good_job seller matangap tagal_shipping kasi nasa qc hub parcel within day next_day dadating parcel nasa qc hub umabot days', 'maganda tsinelas naka dalawang order naku shop_nato matagal_masira manawa pangbahay panlakad worth presyo love shop highly recomended bilis_shipping salamat_seller salamat_shopee free_shipping', 'best shop nd_order shop bait_seller accommodating tlgang shinip kagad nagfollow courier thank_seller da best till_next transaction im glad found_shop tnk shoppee_express buti naship']"
75,16,75_photochromic_lenses_baliktad_glass,"['photochromic', 'lenses', 'baliktad', 'glass', 'lens', 'lense', 'plastic', 'uv_light', 'glasses', 'eye']","['photo photochromic lens baliktad kabit', 'plastic lenses plastic photochromic plastic bending malabo yea worth_price youre looking maganda_quality go another shop im_sorry honest revieww thanks good', 'low_quality photochromic eye glass sobrang low_quality uulit store plastic ata glass baliktad pagka install']"
76,16,76_remote_power_button_facemask_remote_control,"['remote', 'power_button', 'facemask', 'remote_control', 'keys', 'malakas', 'kasamang', 'customer', 'ayaw_gumana', 'unit']","['mukang ok product akala remote wla naka_lagay feature remote', 'okay light thought remote keys kasi nasa_pic wala description keys saksakan remote pinadala nagwowork nireplace old remote adapter', 'remote functioning well sinabi kay_seller order daw facemask bigyan replacement remote nag_order binigay order id facemask pagkatanggap facemask kasamang remote tsk super boooooo scam']"
77,16,77_seller_box_check_item,"['seller', 'box', 'check', 'item', 'irresponsible', 'poh', 'item_received', 'responsible', 'sira_sira', 'double_check']","['item_good_condition received understood could courier seller must take_note least put carton bubble_wrap box light_stand naka_box mas protected light', 'seller recommended wala_man_bubble_wrap mismong box protect item buti_nlng gumana product ipangreregalo_sana sira_sira box seller responsible maayos wrap item basag bandang taas item never buy', 'wala daw defect item shinip wala kamong check nangyare ba ngang customer magsasayng panahong mag reach seller wala_talagang sira product inconsiderate seller never order']"
78,15,78_wire_cable_cord_neck_fan,"['wire', 'cable', 'cord', 'neck_fan', 'underwire', 'wires', 'fast_charging', 'remote', 'adaptor', 'usb']","['tried_yet cord binili bought two neck_fan cable cord well_packaged mabilis_dumating sayang need bumili cord', 'cable line cord neck_fan dlawang neck_fan order nagbigay tip shipper tpos pla item ok neck_fan gumana parehas', 'ok_sana testing umaandar ewan mag_charge wala_man cable wire nakalagay bibili cable wire box man maayos regalo man masaya']"
79,15,79_plastic_tape_sticker_ok_namn,"['plastic', 'tape', 'sticker', 'ok_namn', 'automatic', 'buo', 'panty', 'gaya', 'karereceived', 'pinagksaya']","['karereceived plastic eto agad box parang tinapaktapakan elepante buti buo item star sana maayos_packaging thank_kay seller buo order pwede magtry ulit_susunod baka maayos', 'nipis automatic umbrella hirap_buksan tigas gaya nabili manual mas manipis automatic prang plastic nlng cover mukhang mabilis_masira nilipad hangin stars lng mabilis_lng delivery packaging maayos', 'ok masydo maganda bagkabalot pati damit tape pilit pinagksaya plastic order nagupit ddalawa tanggal balot halos kalahati item tape nakabalo direct product']"
80,14,80_baligtad_nastock_shuta_cover,"['baligtad', 'nastock', 'shuta', 'cover', 'mabuksan', 'hinde', 'bukas', 'madaling', 'lowbut', 'tirik']","['baligtad lens ganun man check quality control parte salamin baligtad pagkakalagay hinde halata titingnan maigi baligtad paan mata useless talaga bili', 'maluwag cover madaling mabuksan ksi ganun ding klase mahigpit cover kpg bumagsak sarado protektado earbuds madaling_malowbat khit matagal charge man_umabot maghapon khit ginagamit nalolowbat poor_quality', 'kadiri okay_quality shuta bukas bukas nung payong tignan gano kalaki maco cover binuksan shuta baho inamoy masakit tyan amoy sobrang_nakaka suka shutangina amoy patay daga payong']"
81,14,81_eyeliner_tinta_eyebrow_mascara,"['eyeliner', 'tinta', 'eyebrow', 'mascara', 'maskara', 'eye_liner', 'eye', 'effecf', 'pinatigas', 'bi']","['ate bkt ibang_kulay maskara kulay brown_black eyeliner tinta', 'wrong product ordered eyebrow black mascara dumating eyeliner mascara wala parang tinta eyeliner', 'eyeliner maskara eyebrow order wala_pong eyeliner pcs dumating']"
82,14,82_haysss_hays_hayss_ee,"['haysss', 'hays', 'hayss', 'ee', 'bilis_malowbat', 'pashneya', 'gagoooooo', 'dahol', 'ampt', 'polo']","['okay_sana ayaw_gumana remote haysss', 'nareceived bilis_malowbat haysss sapat lng_presyo', 'gagoooooo ampt vanilla inorder ee dumatimg polo red mygod send kapa picture pinadala galing ee haysss']"
83,13,83_smart_tv_thank_seller_good_quality_nanalo,"['smart_tv', 'thank_seller', 'good_quality', 'nanalo', 'aqorder', 'aspect', 'matulongan', 'pagkakarating', 'nagdelever', 'nice_quality']","['thank_seller good_quality condition item thank_kay kuya nagdelever', 'thank_much_seller sobrang_bilis good_quality ganda tlga super_satisfied aqorder aq_ulit sana big discount thank thank_seller satisfied', 'thank_much_seller sobrang saya natangap smart_tv maraming_salamat kasi nanalo sana kayong matulongan love seller week using smart_tv say superb quality every aspect considering_price easy set']"
84,13,84_message_reply_chat_kac,"['message', 'reply', 'chat', 'kac', 'seller_responsive', 'response', 'online', 'ipapadala', 'accesories', 'resond']","['seller_responsive items nakailang message nako seller online sinasagot man binalikan wala_talagang reply star dpat ayaw shopee', 'poor_service pinadalang item wala_man lng message ipapadala message si_seller reply wag_kayong mag purchase store irresponsible customer', 'okay item nadisappoint kay_seller kac nagrerespond message regarding issue item right_side kac fan_nagana nagmessage_kay seller_regarding response_seller send automatic reply repeatedly']"
85,12,85_stocks_stock_parang_old_naruto,"['stocks', 'stock', 'parang_old', 'naruto', 'ninyo', 'medyas', 'faded', 'mn_lng', 'wla', 'old']","['great okay_sana mali_binigay stock imbes medium_large nilagay maliit waistline medyo_maluwag next_time make_sure stocks still available sakto order', 'lagi umoorder satisfied kasi lukot_lukot wipes parang matagal stock sana_next_time mas maayos ulit ipadalang stocks thabk seller', 'ok medyas maganda nadisappoint lng ksi wla mn_lng chat_seller wla lng stock ibang medyas basta lng nagbigay ibang_design sana mn_lng susunod magship magchat muna wla lng stocks']"
86,12,86_buttons_screw_phone_switch,"['buttons', 'screw', 'phone', 'switch', 'assemble', 'incomplete', 'parts', 'missing', 'adjuster', 'mahihina']","['nareceive agad currently testing mode working perfectly fine chinese_remote maintindihan buttons hope works intended', 'okay missing part dun pangkabit phone nhirapan akong assemble sadyang talaga parts working ringlight pwede_magamit phone handle wala adjuster sana kumpleto thanks', 'plug play medyo nakakatakot tanggalin cover filter kasi fragile nung plastic parang madali maputol lock overall_okay eng remote itest niyo buttons makabisado update effect changes ar gf']"
87,12,87_fast_delivery_speed_ksjdjs_auper,"['fast_delivery', 'speed', 'ksjdjs', 'auper', 'patu', 'colay', 'nindot', 'natetest', 'mpbs', 'veryyy']","['ganda_quality fast_delivery thank_seller', 'maganda items_complete nasunod colay far_good okay fast_delivery compare couriers', 'expect cap internet speed mpbs lng omg useless pagiging mabilis_nadeliver responsive_seller product disappointed']"
88,12,88_love_charot_love_much_really_love,"['love', 'charot', 'love_much', 'really_love', 'romance', 'amber', 'hugs', 'ooo', 'qualityi', 'duh']","['excellent qualityi love_much item presko sinuot love thank_much order', 'amazing superb love quality worth ur money quality qise love buy promise magsisisi', 'love fits regret buying planning_buy store sulit_sulit pera perfect length hugs body love']"
89,12,89_pair_wysiwyg_beh_vivo,"['pair', 'wysiwyg', 'beh', 'vivo', 'tumal', 'nakakainlove', 'sumonod', 'order', 'xl', 'nakulangan']","['xl order xl dumating tumal', 'tagal_dumating beh almost one_month halos dumating sumonod order', 'order vivo dumating oppo hnd type']"
90,12,90_secured_order_received_eyeliner_always,"['secured', 'order_received', 'eyeliner', 'always', 'order', 'iniinform', 'somuch', 'complte', 'binbigay', 'dumatong']","['thank_seller order_received maganda_quality secured dumatong bagay talaga bahay order oder', 'sure ilang order always complete_correct items binbigay seller secured always packaging medyo sad transaction punit jogger know ero oks sana_maulit sayang pambenta', 'omg thank_much finally received order immediately use received really excited_use also problem packaging well secured probably order']"
91,12,91_thank_ganda_ganda_personal_gnda,"['thank', 'ganda', 'ganda_personal', 'gnda', 'thanks', 'tama', 'good', '', '', '']","['thank ganda', 'thank ganda', 'thank ganda']"
92,11,92_bait_ngusruhan_gosto_yeheeyy,"['bait', 'ngusruhan', 'gosto', 'yeheeyy', 'iipon', 'grave', 'xs', 'thankz', 'shopeee', 'law']","['nice sira design thank maayos thanks delivery_rider apaka bait nextime seller ayusin nio', 'namn manipis xs malaki goods thank_seller_kay_kuya grave bait thank', 'yeheeyy thank_much_seller complete_items parin nakuha highly_recommended talaga itong shop thank kuya_rider bait talaga']"
93,11,93_electric_fan_kaloka_nahihirapang_simce,"['electric_fan', 'kaloka', 'nahihirapang', 'simce', 'panglawang', 'grabie', 'nasship', 'makaapekto', 'ayyy', 'attracted']","['manipis panglawang purchase_shop never disappoint expected manipis material simce momo hand wash tatagal product', 'quality zeus product quite_good however difference item nasship like bought product last_year since badly_needed item able return palitan missing part keyboard shown photo', 'good ok si_seller nagsend muna picture iship ok products electric_fan maliit lng_pla talaga super handy talagang pambata baby ok nama medyo_amoy electric_fan sana makaapekto health far goods thanks_seller']"
94,11,94_boxer_bench_brief_boxers,"['boxer', 'bench', 'brief', 'boxers', 'briefs', 'bench_body', 'shorts', 'panty', 'short', 'malimali']","['order bench puro bench dumating size mejo_maliit boxer briefs ok size', 'thank dumating ganda boxer shorts', 'dami order pcs bench brief boxer parehas kulay doble boxer short bench_body tsaka hm bench_body pinadala pare_parehas kulay anu star seller badtrip haha']"
95,11,95_picture_fix_gusot_buo,"['picture', 'fix', 'gusot', 'buo', 'sainyo', 'ml', 'ediwaw', 'pumsok', 'tusukin', 'lawa']","['oks ediwaw pic anlayo inorder reality sge tinda yan ehhh oks saken mura ehh', 'picture white white kala hnd puti dko type hnd maayos tahi lumabas tusukin pra pumsok loob', 'order dalawang ml recieve ml design transparent blue_purple eto dumating nakakasad naglalagay pagpipilian dn masusunod sana nag_message muna saken']"
96,10,96_cute_loved_palitam_paghatid,"['cute', 'loved', 'palitam', 'paghatid', 'olan', 'namnn', 'nakakahuha', 'mauubusan', 'cuteok', 'hanginan']","['good super cuteee malakas_fan feel madali_masira kasi nasa_labas fan cute appearance size pati led', 'really loved one medyo_maluwag garter pwede namang palitam sumakto fit bet bumili color', 'cute malaki person morning afternoon dika madali mauubusan tubig hahaha']"
97,10,97_expectation_pitong_reality_expectation_vs_reality,"['expectation', 'pitong', 'reality', 'expectation_vs_reality', 'nabura', 'gandaaaaaaa', 'langg', 'dlwang', 'grabeeeeeeeeeee', 'pating']","['bahala humusga eto expectation versus reality', 'dissapointed product plum order akala dark_color dumating pink ewan bumagay tapus akala matagal_mawala matanggal ibabad mins lips still nabura parin expectation_vs_reality', 'expectation_vs_reality ibalik excess pera pitong liters order pitong ml assorted_color order dumating dlwang color_design ayusin sana pagpapack icheck sana ipadala sayang_pera']"
98,10,98_salamat_seller_mejo_matagal_salamt_seller_tanong,"['salamat_seller', 'mejo_matagal', 'salamt_seller', 'tanong', 'swak', 'ngustohan', 'uultin', 'superkalan', 'signature', 'kelngan']","['got_parcel manipis_lng ok_lng salamat_seller_rider kilala mag delivery kelngan tanong tanong', 'okay namn mejo_matagal deliver wala anmn syang sira salamat_seller salamat_rider uultin', 'salamat_seller nakaorder nun nagaalangan baka kasya kalan swak swak lalu superkalan']"
99,10,99_asawa_kuya_rider_rider_suki,"['asawa', 'kuya_rider', 'rider', 'suki', 'ora', 'mabiis', 'twing', 'strech', 'sasunod', 'sempre']","['thank ganda worth order_ulit sasunod sempre thank asawa rider', 'complete_order maganda_tela saken sakto asawa strech nasuot asawa thank_seller kuya_rider', 'tnk suki nko dto store ora daughter twing pera_dto order undergarments slmat seller_shopee god_bless next_transaction']"
100,10,100_laptop_pere_shege_silicon,"['laptop', 'pere', 'shege', 'silicon', 'sabay', 'kapa', 'tatlong', 'table', 'pcs', 'bugos']","['ok akala made stainless steel made_plastic tsaka masyadong mauga table recommended gamitin lagayan inumin kasi prone matapunan laptop rest_ok', 'super_ganda product bagay item medyas pere shege petot sana alam si_seller ba courier responsible silicon bra pad nakalagay box yuping syaaa pere shege neleng tagal', 'attendant nagdala gamit damaged laptop instead handing us binitbit sabay sabay bag nabagsak bag nakalagay laptop aware laptop extra careful gamit guest']"
101,10,101_liters_liter_tubigan_ml,"['liters', 'liter', 'tubigan', 'ml', 'ipaparefund', 'ipapaship', 'kupoung', 'malikakainis', 'mapapansin', 'ali']","['good_quality maganda mukhang_matibay mali_pinadala si_seller liters kulay black_order dumating liter kulay_blue', 'nice mali_dumating order liters liter dumating mali sin kulay ok', 'wrong_item liters green order pinadala liter blue sayang need liters']"
